Livros;;;;;;;;;;
Livros;Pag;Editora;Autor;Pags. Lidas;Pags. Restantes;Mês;Dia;;;
1984;416;Companhia das Letras;George Orwell;0;416;Janeiro;04/jun;;;
A Christmas Carol;80;Dover Publications;Charles Dickens;0;80;Outubro;;;;
A Divina Comédia;416;L&PM;Dante Aligheri;0;416;Dezembro;03/jun;;;
A Game of Thrones;835;Bantan Books;G.R.R. Martin;0;835;Abril;26/mai;;;
A República;320;Martin Claret;Platão;0;320;Abril;07/jun;;;
A Vida Intelectual;220;Kírion;A.D. Sertilanges;0;220;Agosto;11/jun;;;
Admirável Novo Mundo;312;Biblioteca Azul;Aldus Huxley;0;312;Maio;08/jun;;;
Como Ler Livros;432;É Realizações;Mortmer Adler;26;406;Novembro;02/jun;;;
Contos Inacabados;624;Harper Collins;J. R. R. Tolkien;0;624;Julho;29/mai;;;
Drácula;434;Pé da Letra;Bram Stoker;0;434;;;;;
Duna;680;Aleph;Frank Hebert;680;0;Maio;24/mai;;;
E Deus falou na língua dos Homens;400;Thomas Nelson Brasil;Paulo Won;0;400;Março;06/jun;;;
Ética para viver melhor;264;Pórtico;C. S. Lewis;0;264;Julho;10/jun;;;
Filhos de Duna;528;Aleph;Frank Hebert;0;528;Agosto;30/mai;;;
Ideias tem consequencias;208;É Realizações;Richard M. Weaver;0;208;Setembro;12/jun;;;
Messias de Duna;272;Aleph;Frank Hebert;0;272;Junho;09/jun;;;
O conde de Monte Cristo ;1376;Clássicos Zahar;Alexandre Dumas;0;1376;Março;25/mai;;;
O Inimigo de Deus;488;Record;Bernard Cornwell;0;488;Outubro;01/jun;;;
O Senhor dos Anéis - Box Completo;1568;Harper Collins;J. R. R. Tolkien;0;1568;Janeiro;23/mai;;;
O Silmarillion;496;Harper Collins;J. R. R. Tolkien;0;496;Setembro;31/mai;;;
Os Miseraveis;1511;Martin Claret;Vitor Hugo;0;1511;Fevereiro;24/mai;;;
The Hobbit;326;Harper Collins;J. R. R. Tolkien;30;296;Fevereiro;05/jun;;;
Trilogia Fundação;728;Aleph;Isaac Asimov;0;728;Maio;27/mai;;;
Desvendando os segredos da linguagem Corporal;271;Sextante;Allan & Barbara Pease;66;205;;;;;
